,mean,max,min,std_dev
ensemble_mean,0.00022012175858329705,1.0666666666666667,0.0,0.010943384586935168
ensemble_max,0.002868925945849023,8.0,0.0,0.0858429228905106
ensemble_min,0.0,0.0,0.0,0.0
ensemble_std,0.0006021015196912541,1.5691469727919762,0.0,0.02068406061418806
ensemble_p5,0.0,0.0,0.0,0.0
ensemble_p10,0.0,0.0,0.0,0.0
ensemble_p25,0.0,0.0,0.0,0.0
ensemble_p50,0.0,0.0,0.0,0.0
ensemble_p75,0.0001665001665001665,1.75,0.0,0.01397461200550158
ensemble_p90,0.0005814698122390433,4.0,0.0,0.039359091169869416
ensemble_p95,0.0009375240144470905,4.0,0.0,0.05119181703890737
